"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"8119250" "Worker, process (electrical engineering)" "8119250" "Worker, process (electrical engineering)"
"8119251" "Worker, process (jewellery, plate mfr)" "8119251" "Worker, process (jewellery, plate mfr)"
"8119252" "Worker, process (linoleum mfr)" "8119252" "Worker, process (linoleum mfr)"
"8119253" "Worker, stone (cast concrete products mfr)" "8119253" "Worker, stone (cast concrete products mfr)"
"8119254" "Worker, tile (cast concrete products mfr)" "8119254" "Worker, tile (cast concrete products mfr)"
"812" "Plant And Machine Operatives" "812" "Plant And Machine Operatives"
"8121" "Paper and wood machine operatives" "8121" "Paper and wood machine operatives"
"8121001" "Adjuster, envelope" "8121001" "Adjuster, envelope"
"8121002" "Adjuster, machine (paper goods mfr)" "8121002" "Adjuster, machine (paper goods mfr)"
"8121003" "Assistant, beater's" "8121003" "Assistant, beater's"
"8121004" "Assistant, beaterman's" "8121004" "Assistant, beaterman's"
"8121005" "Assistant, calender (paper mfr)" "8121005" "Assistant, calender (paper mfr)"
"8121006" "Assistant, calenderman's (paper mfr)" "8121006" "Assistant, calenderman's (paper mfr)"
"8121007" "Assistant, cutter's (paper mfr)" "8121007" "Assistant, cutter's (paper mfr)"
"8121008" "Assistant, cutter's (paper pattern mfr)" "8121008" "Assistant, cutter's (paper pattern mfr)"
"8121009" "Assistant, cutter's, paper" "8121009" "Assistant, cutter's, paper"
"8121010" "Assistant, dryerman's (paper)" "8121010" "Assistant, dryerman's (paper)"
"8121011" "Assistant, hydropulper" "8121011" "Assistant, hydropulper"
"8121012" "Assistant, laminating (paper mfr)" "8121012" "Assistant, laminating (paper mfr)"
"8121013" "Assistant, man's, machine (paper mfr)" "8121013" "Assistant, man's, machine (paper mfr)"
"8121014" "Assistant, reelerman's (paper mfr)" "8121014" "Assistant, reelerman's (paper mfr)"
"8121015" "Assistant, slitter's (films)" "8121015" "Assistant, slitter's (films)"
"8121016" "Assistant, tender's, machine, pasteboard" "8121016" "Assistant, tender's, machine, pasteboard"
"8121017" "Attendant, calender (paper)" "8121017" "Attendant, calender (paper)"
"8121018" "Attendant, conditioner (paper mfr)" "8121018" "Attendant, conditioner (paper mfr)"
"8121019" "Attendant, creel, sisal" "8121019" "Attendant, creel, sisal"
"8121020" "Attendant, felt (paper mfr)" "8121020" "Attendant, felt (paper mfr)"
"8121021" "Attendant, grainer (paper mfr)" "8121021" "Attendant, grainer (paper mfr)"
"8121022" "Attendant, humidifier" "8121022" "Attendant, humidifier"
"8121023" "Attendant, mill, saw" "8121023" "Attendant, mill, saw"
"8121024" "Attendant, mill, wood" "8121024" "Attendant, mill, wood"
"8121025" "Attendant, thickener" "8121025" "Attendant, thickener"
"8121026" "Backer (paper mfr)" "8121026" "Backer (paper mfr)"
"8121027" "Backer, paper, stencil" "8121027" "Backer, paper, stencil"
"8121028" "Bander (cardboard box mfr)" "8121028" "Bander (cardboard box mfr)"
"8121029" "Beater (paper mill)" "8121029" "Beater (paper mill)"
"8121030" "Beaterman (paper mfr)" "8121030" "Beaterman (paper mfr)"
"8121031" "Bender (cardboard box mfr)" "8121031" "Bender (cardboard box mfr)"
"8121032" "Bender and slotter (cardboard)" "8121032" "Bender and slotter (cardboard)"
"8121033" "Binder (cardboard box mfr)" "8121033" "Binder (cardboard box mfr)"
"8121034" "Bitter (cardboard box mfr)" "8121034" "Bitter (cardboard box mfr)"
"8121035" "Bleacher (paper)" "8121035" "Bleacher (paper)"
"8121036" "Bleacher (wood pulp)" "8121036" "Bleacher (wood pulp)"
"8121037" "Blocker (wood heel mfr)" "8121037" "Blocker (wood heel mfr)"
"8121038" "Boiler (paper mfr)" "8121038" "Boiler (paper mfr)"
"8121039" "Boiler, rag" "8121039" "Boiler, rag"
"8121040" "Boiler, woodpulp" "8121040" "Boiler, woodpulp"
"8121041" "Boilerman (paper mfr)" "8121041" "Boilerman (paper mfr)"
"8121042" "Borer (woodwind instruments mfr)" "8121042" "Borer (woodwind instruments mfr)"
"8121043" "Borer and cutter, cross" "8121043" "Borer and cutter, cross"
"8121044" "Borer, wood" "8121044" "Borer, wood"
"8121045" "Bottomer (cardboard box mfr)" "8121045" "Bottomer (cardboard box mfr)"
"8121046" "Brander" "8121046" "Brander"
"8121047" "Breaker (paper mfr)" "8121047" "Breaker (paper mfr)"
"8121048" "Breaker, woodpulp" "8121048" "Breaker, woodpulp"
"8121049" "Breakerman (paper mfr)" "8121049" "Breakerman (paper mfr)"
"8121050" "Breakerman, rag" "8121050" "Breakerman, rag"
"8121051" "Breaster, heel (wood)" "8121051" "Breaster, heel (wood)"
"8121052" "Brusher (paper mfr)" "8121052" "Brusher (paper mfr)"
"8121053" "Brusher (wallpaper mfr)" "8121053" "Brusher (wallpaper mfr)"
"8121054" "Brusher, pigment" "8121054" "Brusher, pigment"
"8121055" "Builder, drum (cables)" "8121055" "Builder, drum (cables)"
"8121056" "Builder, vat" "8121056" "Builder, vat"
"8121057" "Calenderer (paper mfr)" "8121057" "Calenderer (paper mfr)"
"8121058" "Calenderman (paper mfr)" "8121058" "Calenderman (paper mfr)"
"8121059" "Calenderman, super" "8121059" "Calenderman, super"
"8121060" "Catcher (paper mfr)" "8121060" "Catcher (paper mfr)"
"8121061" "Catcher, sheet (paper)" "8121061" "Catcher, sheet (paper)"
"8121062" "Cementer, paper" "8121062" "Cementer, paper"
"8121063" "Changer, roller" "8121063" "Changer, roller"
"8121064" "Chipper (chipboard mfr)" "8121064" "Chipper (chipboard mfr)"
"8121065" "Chopper, wood (sawmilling)" "8121065" "Chopper, wood (sawmilling)"
"8121066" "Chopperman (paper mfr)" "8121066" "Chopperman (paper mfr)"
"8121067" "Cleaner, wood" "8121067" "Cleaner, wood"
"8121068" "Clipper, veneer" "8121068" "Clipper, veneer"
"8121069" "Coater (stencil paper mfr)" "8121069" "Coater (stencil paper mfr)"
"8121070" "Coater, paper" "8121070" "Coater, paper"
"8121071" "Combiner (paper mfr)" "8121071" "Combiner (paper mfr)"
"8121072" "Concaver (footwear mfr)" "8121072" "Concaver (footwear mfr)"
"8121073" "Concentratorman (paper mfr)" "8121073" "Concentratorman (paper mfr)"
"8121074" "Conditioner (paper mfr)" "8121074" "Conditioner (paper mfr)"
"8121075" "Conditioner, paper" "8121075" "Conditioner, paper"
"8121076" "Converter, paper" "8121076" "Converter, paper"
"8121077" "Converter, paper (paper goods mfr)" "8121077" "Converter, paper (paper goods mfr)"
"8121078" "Converter, timber" "8121078" "Converter, timber"
"8121079" "Copier, pattern, paper" "8121079" "Copier, pattern, paper"
"8121080" "Corrugator (paper mfr)" "8121080" "Corrugator (paper mfr)"
"8121081" "Coucher" "8121081" "Coucher"
"8121082" "Creaser (printing)" "8121082" "Creaser (printing)"
"8121083" "Creosoter, timber" "8121083" "Creosoter, timber"
"8121084" "Cutter (abrasive paper, cloth mfr)" "8121084" "Cutter (abrasive paper, cloth mfr)"
"8121085" "Cutter (furniture mfr)" "8121085" "Cutter (furniture mfr)"
"8121086" "Cutter (packing case (wood) mfr)" "8121086" "Cutter (packing case (wood) mfr)"
"8121087" "Cutter (paper goods mfr)" "8121087" "Cutter (paper goods mfr)"
"8121088" "Cutter (paper mfr)" "8121088" "Cutter (paper mfr)"
"8121089" "Cutter (paper pattern mfr)" "8121089" "Cutter (paper pattern mfr)"
"8121090" "Cutter (printing)" "8121090" "Cutter (printing)"
"8121091" "Cutter (woodworking)" "8121091" "Cutter (woodworking)"
"8121092" "Cutter, belt (abrasives mfr)" "8121092" "Cutter, belt (abrasives mfr)"
"8121093" "Cutter, box (cardboard)" "8121093" "Cutter, box (cardboard)"
"8121094" "Cutter, card (paper goods mfr)" "8121094" "Cutter, card (paper goods mfr)"
"8121095" "Cutter, film (photographic film mfr)" "8121095" "Cutter, film (photographic film mfr)"
"8121096" "Cutter, guillotine (paper goods mfr)" "8121096" "Cutter, guillotine (paper goods mfr)"
"8121097" "Cutter, guillotine (wood products mfr)" "8121097" "Cutter, guillotine (wood products mfr)"
"8121098" "Cutter, maker's, box" "8121098" "Cutter, maker's, box"
"8121099" "Cutter, negative" "8121099" "Cutter, negative"
"8121100" "Cutter, panel (wood)" "8121100" "Cutter, panel (wood)"
"8121101" "Cutter, paper" "8121101" "Cutter, paper"
"8121102" "Cutter, pattern, paper" "8121102" "Cutter, pattern, paper"
"8121103" "Cutter, press (paper goods mfr)" "8121103" "Cutter, press (paper goods mfr)"
"8121104" "Cutter, print" "8121104" "Cutter, print"
"8121105" "Cutter, rotary (paper goods mfr)" "8121105" "Cutter, rotary (paper goods mfr)"
"8121106" "Cutter, sole (clog)" "8121106" "Cutter, sole (clog)"
"8121107" "Cutter, stencil (printing)" "8121107" "Cutter, stencil (printing)"
"8121108" "Cutter, timber" "8121108" "Cutter, timber"
"8121109" "Cutter, tube (paper)" "8121109" "Cutter, tube (paper)"
"8121110" "Cutter, veneer" "8121110" "Cutter, veneer"
"8121111" "Cutter, wood" "8121111" "Cutter, wood"
"8121112" "Cutterman (paper mfr)" "8121112" "Cutterman (paper mfr)"
"8121113" "Cylinderman (paper mfr)" "8121113" "Cylinderman (paper mfr)"
"8121114" "Damperman (paper mfr)" "8121114" "Damperman (paper mfr)"
"8121115" "Designer-cutter (paper goods mfr)" "8121115" "Designer-cutter (paper goods mfr)"
"8121116" "Devilman (paper mfr)" "8121116" "Devilman (paper mfr)"
"8121117" "Dipper (paper mfr)" "8121117" "Dipper (paper mfr)"
"8121118" "Driller, wood" "8121118" "Driller, wood"
"8121119" "Dropperman" "8121119" "Dropperman"
"8121120" "Dryer (abrasive paper, cloth mfr)" "8121120" "Dryer (abrasive paper, cloth mfr)"
"8121121" "Dryer (paper mfr)" "8121121" "Dryer (paper mfr)"
"8121122" "Dryer (vulcanised fibre mfr)" "8121122" "Dryer (vulcanised fibre mfr)"
"8121123" "Dryer, kiln (wood)" "8121123" "Dryer, kiln (wood)"
"8121124" "Dryer, veneer" "8121124" "Dryer, veneer"
"8121125" "Edgeman" "8121125" "Edgeman"
"8121126" "Facer, wood" "8121126" "Facer, wood"
"8121127" "Feeder (card, paste board mfr)" "8121127" "Feeder (card, paste board mfr)"
"8121128" "Feltman (paper mfr)" "8121128" "Feltman (paper mfr)"
"8121129" "Filler-in (paper mfr)" "8121129" "Filler-in (paper mfr)"
"8121130" "Finisher (paper mfr)" "8121130" "Finisher (paper mfr)"
"8121131" "Finisher (stencil paper mfr)" "8121131" "Finisher (stencil paper mfr)"
"8121132" "Finisher, paper" "8121132" "Finisher, paper"
"8121133" "Finisher, plate (paper mfr)" "8121133" "Finisher, plate (paper mfr)"
"8121134" "Finisher, wood" "8121134" "Finisher, wood"
"8121135" "Fireman, retort (charcoal)" "8121135" "Fireman, retort (charcoal)"
"8121136" "Fixer, tape (paper pattern mfr)" "8121136" "Fixer, tape (paper pattern mfr)"
"8121137" "Flusher (tobacco pipes)" "8121137" "Flusher (tobacco pipes)"
"8121138" "Folder, envelope" "8121138" "Folder, envelope"
"8121139" "Folder, map" "8121139" "Folder, map"
"8121140" "Folder, paper" "8121140" "Folder, paper"
"8121141" "Foreman (abrasive paper, cloth mfr)" "8121141" "Foreman (abrasive paper, cloth mfr)"
"8121142" "Foreman (cardboard box mfr)" "8121142" "Foreman (cardboard box mfr)"
"8121143" "Foreman (paper goods mfr)" "8121143" "Foreman (paper goods mfr)"
"8121144" "Foreman (paper mfr)" "8121144" "Foreman (paper mfr)"
"8121145" "Foreman (sawmilling)" "8121145" "Foreman (sawmilling)"
"8121146" "Foreman, calender (paper mfr)" "8121146" "Foreman, calender (paper mfr)"
"8121147" "Foreman, shop (paper mfr)" "8121147" "Foreman, shop (paper mfr)"
"8121148" "Foreman, timber" "8121148" "Foreman, timber"
"8121149" "Framer, rule" "8121149" "Framer, rule"
"8121150" "Frazer (tobacco pipe mfr)" "8121150" "Frazer (tobacco pipe mfr)"
"8121151" "Glazer (paper mfr)" "8121151" "Glazer (paper mfr)"
"8121152" "Glazer (wallpaper mfr)" "8121152" "Glazer (wallpaper mfr)"
"8121153" "Glazer, friction" "8121153" "Glazer, friction"
"8121154" "Glazer, postcard" "8121154" "Glazer, postcard"
"8121155" "Grinder (paper mfr)" "8121155" "Grinder (paper mfr)"
"8121156" "Grinder, logwood" "8121156" "Grinder, logwood"
"8121157" "Grinder, paper" "8121157" "Grinder, paper"
"8121158" "Grinderman (paper mfr)" "8121158" "Grinderman (paper mfr)"
"8121159" "Groover, pencil" "8121159" "Groover, pencil"
"8121160" "Hand, bag (paper goods mfr)" "8121160" "Hand, bag (paper goods mfr)"
"8121161" "Hand, guillotine (paper goods mfr)" "8121161" "Hand, guillotine (paper goods mfr)"
"8121162" "Hand, mill, saw" "8121162" "Hand, mill, saw"
"8121163" "Hand, paper (piano hammers)" "8121163" "Hand, paper (piano hammers)"
"8121164" "Hand, spindle" "8121164" "Hand, spindle"
"8121165" "Hand, tenon" "8121165" "Hand, tenon"
"8121166" "Handler, bag, paper" "8121166" "Handler, bag, paper"
"8121167" "Header-up (cask mfr)" "8121167" "Header-up (cask mfr)"
"8121168" "Helper (paper mfr)" "8121168" "Helper (paper mfr)"
"8121169" "Houseman, sand" "8121169" "Houseman, sand"
"8121170" "Hydrapulper" "8121170" "Hydrapulper"
"8121171" "Interleaver (paper)" "8121171" "Interleaver (paper)"
"8121172" "Jogger (paper mfr)" "8121172" "Jogger (paper mfr)"
"8121173" "Joiner, machine" "8121173" "Joiner, machine"
"8121174" "Joiner-machinist" "8121174" "Joiner-machinist"
"8121175" "Knocker-up (printing)" "8121175" "Knocker-up (printing)"
"8121176" "Kollerganger" "8121176" "Kollerganger"
"8121177" "Laminator (wood)" "8121177" "Laminator (wood)"
"8121178" "Laminator (paper mfr)" "8121178" "Laminator (paper mfr)"
"8121179" "Laminator, wood" "8121179" "Laminator, wood"
"8121180" "Layer (paper mfr)" "8121180" "Layer (paper mfr)"
"8121181" "Layer, veneer" "8121181" "Layer, veneer"
"8121182" "Layer-on (cardboard box mfr)" "8121182" "Layer-on (cardboard box mfr)"
"8121183" "Lurrier" "8121183" "Lurrier"
"8121184" "Machinist (adhesive tape mfr)" "8121184" "Machinist (adhesive tape mfr)"
"8121185" "Machinist (furniture mfr)" "8121185" "Machinist (furniture mfr)"
"8121186" "Machinist (lead pencil, chalk, crayon mfr)" "8121186" "Machinist (lead pencil, chalk, crayon mfr)"
"8121187" "Machinist (match mfr)" "8121187" "Machinist (match mfr)"
"8121188" "Machinist (paper dress pattern mfr)" "8121188" "Machinist (paper dress pattern mfr)"
"8121189" "Machinist (paper goods mfr)" "8121189" "Machinist (paper goods mfr)"
"8121190" "Machinist (paper mfr)" "8121190" "Machinist (paper mfr)"
"8121191" "Machinist (piano action, hammer mfr)" "8121191" "Machinist (piano action, hammer mfr)"
"8121192" "Machinist (relief stamping)" "8121192" "Machinist (relief stamping)"
"8121193" "Machinist (wallpaper mfr)" "8121193" "Machinist (wallpaper mfr)"
"8121194" "Machinist (wood products mfr)" "8121194" "Machinist (wood products mfr)"
"8121195" "Machinist, bag, carrier" "8121195" "Machinist, bag, carrier"
"8121196" "Machinist, bag, paper" "8121196" "Machinist, bag, paper"
"8121197" "Machinist, barking" "8121197" "Machinist, barking"
"8121198" "Machinist, boring (wood)" "8121198" "Machinist, boring (wood)"
"8121199" "Machinist, box (paper goods mfr)" "8121199" "Machinist, box (paper goods mfr)"
"8121200" "Machinist, box and slide (cardboard box mfr)" "8121200" "Machinist, box and slide (cardboard box mfr)"
"8121201" "Machinist, brushing (paper mfr)" "8121201" "Machinist, brushing (paper mfr)"
"8121202" "Machinist, builder's" "8121202" "Machinist, builder's"
"8121203" "Machinist, burnishing" "8121203" "Machinist, burnishing"
"8121204" "Machinist, cabinet" "8121204" "Machinist, cabinet"
"8121205" "Machinist, coating (carbon paper)" "8121205" "Machinist, coating (carbon paper)"
"8121206" "Machinist, coating, paper" "8121206" "Machinist, coating, paper"
"8121207" "Machinist, combining (paper mfr)" "8121207" "Machinist, combining (paper mfr)"
"8121208" "Machinist, cooper's" "8121208" "Machinist, cooper's"
"8121209" "Machinist, cording (paper goods mfr)" "8121209" "Machinist, cording (paper goods mfr)"
"8121210" "Machinist, corrugating" "8121210" "Machinist, corrugating"
"8121211" "Machinist, cutting (paper)" "8121211" "Machinist, cutting (paper)"
"8121212" "Machinist, cutting (paper goods mfr)" "8121212" "Machinist, cutting (paper goods mfr)"
"8121213" "Machinist, cutting (paper goods mfr, paper pattern mfr)" "8121213" "Machinist, cutting (paper goods mfr, paper pattern mfr)"
"8121214" "Machinist, cutting (paper mfr)" "8121214" "Machinist, cutting (paper mfr)"
"8121215" "Machinist, cutting, cloth, emery" "8121215" "Machinist, cutting, cloth, emery"
"8121216" "Machinist, cutting, paper" "8121216" "Machinist, cutting, paper"
"8121217" "Machinist, cutting, tube (cardboard)" "8121217" "Machinist, cutting, tube (cardboard)"
"8121218" "Machinist, cutting, wood" "8121218" "Machinist, cutting, wood"
"8121219" "Machinist, drilling (wood products mfr)" "8121219" "Machinist, drilling (wood products mfr)"
"8121220" "Machinist, embossing (wood products mfr)" "8121220" "Machinist, embossing (wood products mfr)"
"8121221" "Machinist, envelope" "8121221" "Machinist, envelope"
"8121222" "Machinist, fibre, vulcanised" "8121222" "Machinist, fibre, vulcanised"
"8121223" "Machinist, gluing and winding, tube (cardboard)" "8121223" "Machinist, gluing and winding, tube (cardboard)"
"8121224" "Machinist, grinding (paper mfr)" "8121224" "Machinist, grinding (paper mfr)"
"8121225" "Machinist, guillotine (paper goods mfr)" "8121225" "Machinist, guillotine (paper goods mfr)"
"8121226" "Machinist, gumming (gum paper, etc)" "8121226" "Machinist, gumming (gum paper, etc)"
"8121227" "Machinist, handle" "8121227" "Machinist, handle"
"8121228" "Machinist, impregnating (paper mfr)" "8121228" "Machinist, impregnating (paper mfr)"
"8121229" "Machinist, insulating, paper" "8121229" "Machinist, insulating, paper"
"8121230" "Machinist, joiner" "8121230" "Machinist, joiner"
"8121231" "Machinist, joiner's" "8121231" "Machinist, joiner's"
"8121232" "Machinist, lining (paper mfr)" "8121232" "Machinist, lining (paper mfr)"
"8121233" "Machinist, maker's, crate" "8121233" "Machinist, maker's, crate"
"8121234" "Machinist, making (abrasive paper, cloth mfr)" "8121234" "Machinist, making (abrasive paper, cloth mfr)"
"8121235" "Machinist, making, box" "8121235" "Machinist, making, box"
"8121236" "Machinist, making, box (cardboard)" "8121236" "Machinist, making, box (cardboard)"
"8121237" "Machinist, mill, moulding" "8121237" "Machinist, mill, moulding"
"8121238" "Machinist, mill, saw" "8121238" "Machinist, mill, saw"
"8121239" "Machinist, mixing (abrasive paper, cloth mfr)" "8121239" "Machinist, mixing (abrasive paper, cloth mfr)"
"8121240" "Machinist, moulding (wood products mfr)" "8121240" "Machinist, moulding (wood products mfr)"
"8121241" "Machinist, paper (paper goods mfr)" "8121241" "Machinist, paper (paper goods mfr)"
"8121242" "Machinist, paper, carbon" "8121242" "Machinist, paper, carbon"
"8121243" "Machinist, paper, crinkled" "8121243" "Machinist, paper, crinkled"
"8121244" "Machinist, pasteboard" "8121244" "Machinist, pasteboard"
"8121245" "Machinist, pasting (pasteboard)" "8121245" "Machinist, pasting (pasteboard)"
"8121246" "Machinist, perforating (paper goods mfr)" "8121246" "Machinist, perforating (paper goods mfr)"
"8121247" "Machinist, planing (wood products mfr)" "8121247" "Machinist, planing (wood products mfr)"
"8121248" "Machinist, pleating, paper" "8121248" "Machinist, pleating, paper"
"8121249" "Machinist, punching (paper goods mfr)" "8121249" "Machinist, punching (paper goods mfr)"
"8121250" "Machinist, roll, toilet" "8121250" "Machinist, roll, toilet"
"8121251" "Machinist, ruling" "8121251" "Machinist, ruling"
"8121252" "Machinist, sanding (wood)" "8121252" "Machinist, sanding (wood)"
"8121253" "Machinist, sandpapering" "8121253" "Machinist, sandpapering"
"8121254" "Machinist, shaping (wood products mfr)" "8121254" "Machinist, shaping (wood products mfr)"
"8121255" "Machinist, slitting (adhesive tape mfr)" "8121255" "Machinist, slitting (adhesive tape mfr)"
"8121256" "Machinist, slitting (paper goods mfr)" "8121256" "Machinist, slitting (paper goods mfr)"
"8121257" "Machinist, slitting (paper mfr)" "8121257" "Machinist, slitting (paper mfr)"
"8121258" "Machinist, slitting and cutting (photographic films)" "8121258" "Machinist, slitting and cutting (photographic films)"
"8121259" "Machinist, spindle" "8121259" "Machinist, spindle"
"8121260" "Machinist, thicknessing" "8121260" "Machinist, thicknessing"
"8121261" "Machinist, timber" "8121261" "Machinist, timber"
"8121262" "Machinist, tube, paper" "8121262" "Machinist, tube, paper"
"8121263" "Machinist, turning, wood" "8121263" "Machinist, turning, wood"
"8121264" "Machinist, up-taking" "8121264" "Machinist, up-taking"
"8121265" "Machinist, varnishing (lithography)" "8121265" "Machinist, varnishing (lithography)"
"8121266" "Machinist, veneer" "8121266" "Machinist, veneer"
"8121267" "Machinist, waxing" "8121267" "Machinist, waxing"
"8121268" "Machinist, wood" "8121268" "Machinist, wood"
"8121269" "Machinist, wood (paper mfr)" "8121269" "Machinist, wood (paper mfr)"
"8121270" "Machinist, woodcutting" "8121270" "Machinist, woodcutting"
"8121271" "Machinist, woodworking" "8121271" "Machinist, woodworking"
"8121272" "Maker, bag (paper goods mfr)" "8121272" "Maker, bag (paper goods mfr)"
"8121273" "Maker, bag, paper" "8121273" "Maker, bag, paper"
"8121274" "Maker, barrel (paper goods mfr)" "8121274" "Maker, barrel (paper goods mfr)"
"8121275" "Maker, block, cork" "8121275" "Maker, block, cork"
"8121276" "Maker, board (paper mfr)" "8121276" "Maker, board (paper mfr)"
"8121277" "Maker, bobbin (cardboard)" "8121277" "Maker, bobbin (cardboard)"
"8121278" "Maker, box (wood)" "8121278" "Maker, box (wood)"
"8121279" "Maker, box (cardboard)" "8121279" "Maker, box (cardboard)"
"8121280" "Maker, box, card" "8121280" "Maker, box, card"
"8121281" "Maker, box, cardboard" "8121281" "Maker, box, cardboard"
"8121282" "Maker, box, ointment" "8121282" "Maker, box, ointment"
"8121283" "Maker, box, paper" "8121283" "Maker, box, paper"
"8121284" "Maker, box, wooden" "8121284" "Maker, box, wooden"
"8121285" "Maker, can, fibre" "8121285" "Maker, can, fibre"
"8121286" "Maker, card (paper mfr)" "8121286" "Maker, card (paper mfr)"
"8121287" "Maker, card, pattern" "8121287" "Maker, card, pattern"
"8121288" "Maker, card, show" "8121288" "Maker, card, show"
"8121289" "Maker, carton" "8121289" "Maker, carton"
"8121290" "Maker, case" "8121290" "Maker, case"
"8121291" "Maker, case (packing case mfr)" "8121291" "Maker, case (packing case mfr)"
"8121292" "Maker, case (paper goods mfr)" "8121292" "Maker, case (paper goods mfr)"
"8121293" "Maker, case, cardboard" "8121293" "Maker, case, cardboard"
"8121294" "Maker, case, packing" "8121294" "Maker, case, packing"
"8121295" "Maker, churn" "8121295" "Maker, churn"
"8121296" "Maker, cloth, glass" "8121296" "Maker, cloth, glass"
"8121297" "Maker, crate" "8121297" "Maker, crate"
"8121298" "Maker, cup, cream (paper goods mfr)" "8121298" "Maker, cup, cream (paper goods mfr)"
"8121299" "Maker, drum (wood)" "8121299" "Maker, drum (wood)"
"8121300" "Maker, drum, cable" "8121300" "Maker, drum, cable"
"8121301" "Maker, envelope (paper goods mfr)" "8121301" "Maker, envelope (paper goods mfr)"
"8121302" "Maker, file, box" "8121302" "Maker, file, box"
"8121303" "Maker, handle (wood)" "8121303" "Maker, handle (wood)"
"8121304" "Maker, hanger, coat (wood)" "8121304" "Maker, hanger, coat (wood)"
"8121305" "Maker, helve" "8121305" "Maker, helve"
"8121306" "Maker, label" "8121306" "Maker, label"
"8121307" "Maker, label, wood" "8121307" "Maker, label, wood"
"8121308" "Maker, medal" "8121308" "Maker, medal"
"8121309" "Maker, pallet" "8121309" "Maker, pallet"
"8121310" "Maker, panel (wood)" "8121310" "Maker, panel (wood)"
"8121311" "Maker, paper" "8121311" "Maker, paper"
"8121312" "Maker, paper, abrasive" "8121312" "Maker, paper, abrasive"
"8121313" "Maker, paper, carbon" "8121313" "Maker, paper, carbon"
"8121314" "Maker, paper, emery" "8121314" "Maker, paper, emery"
"8121315" "Maker, paper, fly" "8121315" "Maker, paper, fly"
"8121316" "Maker, paper, glass" "8121316" "Maker, paper, glass"
"8121317" "Maker, paper, laced" "8121317" "Maker, paper, laced"
"8121318" "Maker, paper, photographic" "8121318" "Maker, paper, photographic"
"8121319" "Maker, paper, sand" "8121319" "Maker, paper, sand"
"8121320" "Maker, plywood" "8121320" "Maker, plywood"
"8121321" "Maker, pole" "8121321" "Maker, pole"
"8121322" "Maker, pulp (paper mfr)" "8121322" "Maker, pulp (paper mfr)"
"8121323" "Maker, reel" "8121323" "Maker, reel"
"8121324" "Maker, reel (cable mfr)" "8121324" "Maker, reel (cable mfr)"
"8121325" "Maker, sample (paper goods mfr)" "8121325" "Maker, sample (paper goods mfr)"
"8121326" "Maker, screw, wooden" "8121326" "Maker, screw, wooden"
"8121327" "Maker, sheet (vulcanised fibre)" "8121327" "Maker, sheet (vulcanised fibre)"
"8121328" "Maker, tape (adhesive tape mfr)" "8121328" "Maker, tape (adhesive tape mfr)"
"8121329" "Maker, transfer" "8121329" "Maker, transfer"
"8121330" "Maker, tray (paper)" "8121330" "Maker, tray (paper)"
"8121331" "Maker, trunk (wood)" "8121331" "Maker, trunk (wood)"
"8121332" "Maker, tube (paper)" "8121332" "Maker, tube (paper)"
"8121333" "Maker, wheel (abrasive paper, cloth mfr)" "8121333" "Maker, wheel (abrasive paper, cloth mfr)"
"8121334" "Maker, wool, wood" "8121334" "Maker, wool, wood"
"8121335" "Man, cut-off (corrugated paper mfr)" "8121335" "Man, cut-off (corrugated paper mfr)"
"8121336" "Man, machine (paper mfr)" "8121336" "Man, machine (paper mfr)"
"8121337" "Man, mould (paper mfr)" "8121337" "Man, mould (paper mfr)"
"8121338" "Man, pan (paper mfr)" "8121338" "Man, pan (paper mfr)"
"8121339" "Man, press-pate" "8121339" "Man, press-pate"
"8121340" "Man, saw (wood)" "8121340" "Man, saw (wood)"
"8121341" "Man, table (box mfr)" "8121341" "Man, table (box mfr)"
"8121342" "Manager, machine (paper goods mfr)" "8121342" "Manager, machine (paper goods mfr)"
"8121343" "Manufacturer (packing cases)" "8121343" "Manufacturer (packing cases)"
"8121344" "Manufacturer (paper)" "8121344" "Manufacturer (paper)"
"8121345" "Manufacturer (paper goods)" "8121345" "Manufacturer (paper goods)"
"8121346" "Mender, crate" "8121346" "Mender, crate"
"8121347" "Miller (paper mfr)" "8121347" "Miller (paper mfr)"
"8121348" "Miller, flour, wood" "8121348" "Miller, flour, wood"
"8121349" "Miller, logwood" "8121349" "Miller, logwood"
"8121350" "Miller, saw" "8121350" "Miller, saw"
"8121351" "Mixer (abrasive paper, cloth mfr)" "8121351" "Mixer (abrasive paper, cloth mfr)"
"8121352" "Mixer (paper mfr)" "8121352" "Mixer (paper mfr)"
"8121353" "Mixer, adhesive (abrasive paper, cloth mfr)" "8121353" "Mixer, adhesive (abrasive paper, cloth mfr)"
"8121354" "Moulder, spindle (wood)" "8121354" "Moulder, spindle (wood)"
"8121355" "Moulder, wood" "8121355" "Moulder, wood"
"8121356" "Nipper (paper mfr)" "8121356" "Nipper (paper mfr)"
"8121357" "Operator, calender (paper mfr)" "8121357" "Operator, calender (paper mfr)"
"8121358" "Operator, clipper, veneer" "8121358" "Operator, clipper, veneer"
"8121359" "Operator, coating (paper mfr)" "8121359" "Operator, coating (paper mfr)"
"8121360" "Operator, compressor (paper, leather board mfr)" "8121360" "Operator, compressor (paper, leather board mfr)"
"8121361" "Operator, guillotine (paper goods mfr)" "8121361" "Operator, guillotine (paper goods mfr)"
